x,y,z,D_20171127,D_20171209,D_20171221,D_20180102,D_20180114,D_20180126,D_20180207,D_20180219,D_20180303,D_20180315,D_20180327,D_20180408,D_20180420,D_20180502,D_20180514,D_20180607,D_20180619,D_20180701,D_20180713,D_20180725,D_20180806,D_20180818,D_20180830,D_20180911,D_20180923,D_20181005,D_20181017,D_20181029,D_20181110,D_20181122,D_20181204,D_20181216,D_20181222,D_20181228,D_20190109,D_20190121,D_20190202,D_20190214,D_20190226,D_20190310,D_20190322,D_20190403,D_20190415,D_20190509,D_20190521,D_20190602,D_20190614,D_20190626,D_20190708,D_20190720,D_20190801,D_20190813,D_20190906,D_20190918,D_20190930,D_20191012,D_20191105,D_20191117,D_20191129,D_20191211,D_20191223,D_20200104
102.902277,29.233788,791.972168,0.000000,4.737848,4.725485,1.848077,-0.658644,-2.193810,-0.346100,-1.101801,1.897943,-2.089530,-2.437605,-2.656040,-6.114132,-7.794579,-6.576752,-2.551138,1.608645,-1.216397,-5.239410,3.060986,-1.983826,2.505182,-2.609367,-1.666454,-4.048930,-6.035286,3.055283,4.324444,4.751312,-0.156475,0.600626,0.217768,-0.879837,0.409366,1.651503,1.019216,-0.163940,0.041800,0.519451,1.332573,-0.406403,-1.292341,-5.388586,-0.123888,1.580497,-0.088594,-6.595179,2.228194,5.717628,6.832499,-32.449879,9.552052,4.426097,4.459858,-12.988098,10.825779,3.540158,1.538063,4.014791,-1.141823,0.574795,0.758545
102.902444,29.233788,784.503113,0.000000,5.737766,4.911899,1.999638,-0.841504,-2.334571,-0.625968,-0.795213,2.098881,-2.250456,-2.089825,-3.428029,-4.281506,-7.104438,-8.799572,-0.560049,0.185802,0.852249,-5.597490,0.036081,-2.174940,4.698788,-2.402888,2.618132,-6.459234,-4.771143,2.357483,5.289808,3.419796,0.000883,-0.112690,0.439526,-0.688923,0.240629,1.224722,1.404209,-0.410517,0.300681,0.441003,1.918331,-0.725311,-1.105789,-5.518454,0.320477,2.410297,1.713103,-9.494364,2.450704,2.957711,7.898775,-24.731270,2.122566,4.079064,4.292463,-10.612341,8.978012,2.953819,2.169876,3.272839,-0.727758,0.395885,0.402050
102.902777,29.233788,766.556580,0.000000,5.961318,4.959487,2.182040,-1.371651,-2.119215,-1.407177,0.084312,0.685089,-1.375185,-2.610317,-0.344266,-6.516363,4.966527,-10.679133,-6.345541,-3.451360,-1.287602,-1.801447,0.075606,-1.587141,-1.982907,5.522780,3.593660,2.264439,-6.902912,-2.178029,1.522513,5.388129,2.651177,-1.541563,-0.705826,0.561917,-0.088335,-0.001808,0.814076,1.198571,-0.519862,1.063068,0.204445,3.507000,-1.718901,-1.192883,-7.578956,1.429176,-0.349346,2.063655,-2.142152,-0.337103,-0.171230,5.376637,-26.026807,1.760113,3.942452,2.936042,-3.836196,6.188028,4.234850,2.131882,2.410020,0.112833,-0.081150
102.902944,29.233788,756.678406,0.000000,5.266484,5.129035,1.906045,-1.152941,-1.678777,-1.672073,0.270443,0.387493,-1.039310,-2.675974,-0.110074,-7.421614,9.883072,-12.552363,-5.824523,-3.746650,-3.161897,-0.929974,3.431108,-1.726059,-1.114545,3.647503,5.145062,-2.556625,-5.712173,-3.043144,2.936086,5.113889,2.578246,-1.477888,-0.669022,0.486438,0.118058,-0.446912,1.030263,0.691255,-0.238828,0.952228,0.216954,3.187904,-1.405258,-1.242388,-8.187411,1.443954,-3.074179,5.869864,-0.435759,-0.696268,-0.405729,5.354378,-29.311234,2.206684,5.016068,2.048612,-3.973405,6.204605,4.595289,3.582344,2.180958,0.623815,-0.465782
102.903277,29.233788,737.951843,0.000000,3.452627,4.933441,1.856529,-0.524454,-1.984808,-0.772986,-0.534370,0.731102,-2.159633,-1.531472,-1.947822,-3.352508,6.190742,-7.713747,-6.957841,9.245007,-4.215473,2.291578,4.020578,-0.003701,1.338467,3.045480,3.018973,-7.211912,-5.064309,4.964687,4.002205,2.879383,-1.570307,-0.194418,0.330451,0.741673,-0.953060,0.989821,0.491750,-0.174624,0.066523,0.741846,1.276264,-0.806621,0.193003,-6.372447,0.187461,6.084215,-4.079781,1.550144,-0.485778,-7.946790,-17.764747,8.478178,7.324191,-1.746879,1.598766,7.288913,4.931448,1.256368,2.143843,-1.666034,0.908097,-0.697351,0.657369
102.903444,29.233788,729.303528,0.000000,2.434455,4.308981,1.814950,-0.426494,-1.884006,-0.449828,-0.772156,0.789136,-2.557372,-1.012154,-4.323621,-2.322418,-6.501532,9.575481,-2.673166,5.033549,0.369709,0.789509,2.593367,3.387677,-6.792835,-5.214780,4.866858,3.279571,2.376852,-1.793419,-0.217549,0.366735,1.397332,-0.865495,0.455867,0.697935,-0.815698,0.268920,0.725823,1.531607,-0.974446,0.482908,-5.694403,-0.660106,5.970889,-2.653015,3.026507,-0.995592,-12.267007,-20.396671,17.897251,5.930091,0.223969,5.047071,5.116678,0.791995,2.322962,-1.947759,0.889674,-0.665319,0.675302,1.539492,-1.446111,-3.076451,-1.132010
102.903610,29.233788,721.156799,0.000000,2.037691,3.368758,1.586543,-0.373328,-1.450053,-0.510651,-0.824256,0.529591,-2.322496,-0.252567,-3.566496,-1.414574,0.154537,-3.264519,-4.171114,2.995021,-0.376290,4.732104,-2.367340,-3.124237,0.629724,0.906264,2.372821,0.777338,-4.903057,-4.938856,3.679684,2.710852,2.598203,-2.037743,-0.160327,0.204368,2.011070,-0.953702,-0.002121,1.022857,-1.596717,0.897666,0.383610,1.886078,-1.108693,-0.521387,-4.590595,-2.035411,-0.727950,5.394072,1.567170,3.360368,-0.775799,-8.208664,-26.553668,18.012573,6.946179,-0.708982,-4.325055,4.256003,1.951409,3.979036,1.354705,1.432318,-1.587335
102.903777,29.233788,714.110596,0.000000,2.749989,3.303059,1.390122,-0.318011,-1.070538,-0.636454,-1.025255,0.610394,-2.591522,-0.081711,-3.976034,-1.223689,-0.771267,-3.020065,-1.538683,0.925964,0.735116,4.265602,-2.556860,-2.556912,0.846429,1.013571,2.360439,0.519806,-4.238293,-3.504410,2.558409,1.934439,3.058218,-2.153671,-0.053549,0.205891,2.092707,-0.883465,-0.283578,1.329725,-1.757844,0.863973,0.186019,1.858479,-0.929052,-1.046465,-4.133162,-2.067956,-0.351884,7.583150,5.891553,-1.049796,-34.362924,15.668293,6.419661,0.361482,-6.749069,3.558964,2.310471,3.348276,1.736841,1.018603,-1.624500,0.455745,-0.384054
102.904277,29.233788,695.910522,0.000000,2.377884,3.610652,0.786801,-0.200053,-0.424413,0.204084,-1.861076,-0.096223,-2.940527,-3.344202,-1.800447,-1.358098,-4.365696,0.067489,-1.013187,-0.318498,2.700408,-4.948615,3.466469,1.041958,0.591126,1.242322,0.121523,-2.504738,-0.775493,0.627977,0.695011,3.523128,-1.453154,1.159847,-0.678302,2.087227,-1.259881,0.387266,0.930577,-0.637231,2.338242,-0.344279,0.587159,-0.523422,-3.133885,-3.786700,-1.473807,-0.882559,8.673689,-3.661061,9.643789,-0.645376,2.847781,-17.330612,-4.712049,6.804713,-1.118513,-5.733848,6.192685,2.304717,3.531806,1.000676,1.359264,-1.423902,1.155572
102.904444,29.233788,689.739563,0.000000,2.416564,3.465812,0.629311,0.018473,-0.289551,0.372832,-1.993111,0.019575,-5.861661,-3.361263,-0.644950,-2.773406,-2.228235,0.186008,0.387968,2.889140,-3.486468,2.932046,0.593215,1.488391,-0.179817,0.203644,-2.882831,-0.101879,0.537662,0.263062,3.282483,-1.533808,0.860061,-0.170625,1.949384,-1.337796,0.846695,0.514393,-0.491346,2.430075,-0.352460,-0.111730,-2.965288,-3.661310,-1.854515,-0.277411,6.240657,-4.021178,10.166718,2.433938,-21.109041,-0.947344,5.213294,0.044988,-7.532126,6.903372,2.557965,2.442403,0.655847,0.914763,-0.861201,1.626341,-0.931543,0.842600,0.408105
102.904610,29.233788,684.599548,0.000000,2.285256,3.027130,0.598423,0.405088,-0.253369,0.436434,-1.973161,0.461176,-6.520723,-4.415291,0.546551,-1.425176,-5.560397,-0.072100,0.889930,3.203584,-3.172135,3.174895,-1.145878,3.190001,-1.583073,1.413027,-4.160774,0.046323,0.978188,0.203386,2.513270,-1.268258,-0.373882,0.737529,2.121515,-1.544966,1.250542,0.445533,-0.426390,2.434326,-0.197123,0.628357,-0.897379,-2.417848,-3.871234,-1.760362,0.780194,4.882108,-2.655917,10.054157,2.828578,-27.070505,5.485321,3.724537,1.784338,-8.930664,7.587096,2.790239,1.364023,0.370622,0.038546,-0.009044,1.737268,-0.713499,0.361018
102.904777,29.233788,680.044250,0.000000,1.556083,2.480090,0.554279,0.613010,0.082409,0.529150,-1.613808,0.622230,-5.913490,-1.221886,-4.012409,2.228230,-2.169644,-7.354309,-2.523555,1.492213,3.396281,-2.881281,2.910134,-2.164712,5.325653,-2.678205,2.903573,-6.090885,0.313551,0.768203,0.313055,1.906074,-0.732660,-1.706472,1.485054,2.722234,-1.833725,1.648676,0.087628,-0.149284,2.345308,0.054843,0.486636,-1.117288,-1.501942,-4.333137,-1.473766,1.773688,4.634586,0.368933,11.895316,-31.442171,10.959358,3.281631,0.925220,-8.580832,8.087264,3.046634,0.825857,-0.261016,-0.789732,1.018657,1.278424,-0.307019,0.305933
102.901944,29.233621,808.064758,0.000000,4.021155,4.625696,1.427048,-1.066419,-1.945780,-0.589020,-0.632079,0.688632,-0.529614,-2.271168,-1.360875,-7.983677,0.892650,-3.729718,-0.012794,-2.339122,-8.190499,1.346025,-0.412754,1.453138,-0.127205,-0.595142,-4.029934,-3.618568,1.817100,4.044747,4.947721,-0.847746,0.121224,0.105967,-0.964252,0.944649,1.142007,0.757724,-0.332352,0.097694,0.326482,1.226816,-0.148587,-1.064719,-3.284392,-0.599955,0.378840,1.668576,-3.312196,4.219351,2.195877,7.006596,-38.206585,11.029575,7.233477,-1.946051,-4.550846,5.546084,4.427433,1.172605,3.463505,-0.665047,-0.389154,0.962206,-0.534077
102.902110,29.233621,799.349365,0.000000,4.773777,5.071189,1.737136,-0.666239,-2.426813,-0.154647,-0.729691,1.173429,-0.548127,-3.974938,-2.597605,-2.794022,-7.666654,-5.048460,-3.699126,1.270645,-0.152971,-11.704502,2.945633,-0.304266,2.213436,-1.181751,-2.155400,-4.358640,-3.796742,1.289811,4.651941,5.472826,-0.860901,-0.010481,0.339909,-0.919388,0.896786,1.230543,0.861162,0.258942,-0.587012,0.709599,0.882232,0.087458,-1.855593,-5.108213,0.042078,1.172392,2.442600,-6.274959,4.367031,4.427490,7.141821,-36.839581,9.845734,6.573898,2.531849,-8.518619,6.875457,4.630207,2.105435,4.237102,-0.857511,-0.024677,0.940938
102.902277,29.233621,792.201538,0.000000,5.405098,4.875365,2.380907,-0.650535,-2.488235,-0.247868,-1.089091,2.171379,-1.602595,-3.493695,-3.153262,-1.086714,-3.746593,-7.176109,-8.806844,-2.644708,3.768070,-0.661772,-6.544838,2.583346,-2.015980,4.002029,-1.513595,-1.132058,-4.748552,-5.629221,2.067719,4.857961,3.875584,-0.077843,-0.316793,0.446014,-0.671808,0.554058,1.298029,1.104305,-0.142709,-0.709294,1.190071,1.148207,-0.554863,-1.118279,-5.371004,-0.003128,1.248404,2.155210,-6.381479,4.852450,3.798082,6.257900,-33.556347,8.440743,4.736240,5.021452,-10.089846,10.588808,3.832253,2.969789,3.580296,-0.989593,0.019178
102.902444,29.233621,785.286804,0.000000,5.836458,4.627156,2.335697,-0.481396,-2.660389,-0.426909,-0.809952,2.477611,-2.139896,-2.562167,-2.878225,-4.453726,-5.576692,-11.270413,-0.824969,3.660727,-0.221676,-6.734230,0.017259,-2.369152,4.271975,-0.605078,0.619543,-6.282480,-5.788143,2.255060,5.618754,2.811975,-0.262516,-0.432657,0.418678,-0.280313,0.091594,1.077853,1.354429,-0.492615,-0.399775,1.336588,1.758803,-0.703587,-0.503004,-6.259441,0.823173,2.020043,0.990305,-7.819720,6.302842,0.953313,7.692557,-27.078535,0.940754,4.058864,4.785097,-8.243913,9.360883,2.878697,4.103784,2.579960,-0.494385,-0.124137,0.371353
